iter	Passed	Remaining
1356	4062	25877
1357	4066	25877
1358	4068	25871
1359	4071	25865
1360	4073	25857
1361	4075	25849
1362	4078	25842
1363	4081	25843
1364	4087	25855
1365	4089	25848
1366	4091	25841
1367	4094	25833
1368	4099	25844
1369	4101	25838
1370	4103	25829
1371	4106	25821
1372	4109	25821
1373	4114	25829
1374	4118	25837
1375	4121	25831
1376	4124	25825
1377	4129	25835
1378	4131	25829
1379	4135	25830
1380	4137	25825
1381	4140	25818
1382	4142	25811
1383	4145	25805
1384	4149	25807
1385	4152	25808
1386	4155	25805
1387	4158	25800
1388	4161	25801
1389	4165	25803
1390	4169	25806
1391	4172	25802
1392	4175	25796
1393	4178	25795
1394	4181	25794
1395	4183	25787
1396	4186	25780
1397	4188	25773
1398	4191	25766
1399	4193	25759
1400	4196	25757
1401	4199	25752
1402	4201	25745
1403	4203	25738
1404	4206	25731
1405	4209	25728
1406	4213	25735
1407	4217	25738
1408	4220	25733
1409	4223	25727
1410	4227	25735
1411	4230	25733
1412	4233	25725
1413	4235	25718
1414	4237	25710
1415	4241	25712
1416	4246	25720
1417	4249	25719
1418	4251	25711
1419	4254	25708
1420	4258	25707
1421	4261	25707
1422	4263	25700
1423	4266	25692
1424	4268	25686
1425	4270	25678
1426	4274	25679
1427	4278	25680
1428	4280	25675
1429	4283	25668
1430	4285	25660
1431	4287	25653
1432	4290	25648
1433	4295	25660
1434	4298	25658
1435	4301	25653
1436	4304	25652
1437	4308	25651
1438	4311	25651
1439	4315	25654
1440	4318	25651
1441	4322	25654
1442	4325	25649
1443	4329	25652
1444	4331	25645
1445	4334	25640
1446	4337	25637
1447	4341	25641
1448	4346	25648
1449	4348	25642
1450	4351	25635
1451	4353	25628
1452	4358	25639
1453	4361	25635
1454	4363	25628
1455	4366	25625
1456	4371	25630
1457	4375	25632
1458	4377	25627
1459	4381	25627
1460	4383	25621
1461	4386	25619
1462	4390	25618
1463	4392	25612
1464	4395	25609
1465	4398	25603
1466	4400	25596
1467	4406	25608
1468	4408	25600
1469	4410	25593
1470	4412	25584
1471	4414	25577
1472	4418	25577
1473	4421	25576
1474	4425	25577
1475	4428	25573
1476	4431	25570
1477	4434	25571
1478	4437	25568
1479	4440	25561
1480	4442	25554
1481	4444	25547
1482	4447	25540
1483	4450	25539
1484	4455	25547
1485	4457	25540
1486	4460	25533
1487	4462	25525
1488	4464	25519
1489	4468	25522
1490	4471	25521
1491	4474	25513
1492	4476	25506
1493	4478	25499
1494	4482	25501
1495	4486	25502
1496	4488	25496
1497	4492	25494
1498	4494	25490
1499	4497	25487
1500	4500	25480
1501	4503	25477
1502	4505	25470
